URL,Text
http://www.scf.edu/,State College of Florida
http://www.secdigitalnetwork.com/SECSPORTS/SPORTS/TENNIS.aspx,Southeastern
http://www.seminoles.com/sports/m-tennis/fsu-m-tennis-body.html,Men's Tennis
http://www.seminoles.com/sports/w-tennis/fsu-w-tennis-body.html,Women's Tennis
http://www.seminoles.com/sports/w-tennis/mtt/hyde_jennifer00.html,Jennifer Hyde
http://www.seu.edu/,Southeastern University
http://www.seufire.com/profile.asp?playerID=287,Bill May
http://www.seufire.com/roster.asp?sportID=21,Women's Tennis
http://www.seufire.com/sport.asp?sportID=20,Men's Tennis
http://www.spcollege.edu/,Saint Petersburg College
http://www.stetson.edu/home/,Stetson University
http://www.stu.edu/Default.aspx,Saint Thomas University
http://www.stubobcats.com/coaches.aspx?rc=211&path=wten,Bruce Carrington
http://www.stubobcats.com/index.aspx?path=mten&tab=tennis,Men's Tennis
http://www.stubobcats.com/index.aspx?path=wten&tab=tennis2,Women's Tennis
http://www.sunbeltsports.org/,Sunbelt
http://www.sunshinestateconference.com/,Sunshine State
http://www.theacc.com/,Atlantic Coast
http://www.thesunconference.com/,The Sun
http://www.ucf.edu/,University of Central Florida
http://www.ucfathletics.com/sports/m-tennis/ucf-m-tennis-body.html,Men's Tennis
http://www.ucfathletics.com/sports/w-tennis/ucf-w-tennis-body.html,Women's Tennis
http://www.ufl.edu/,University of Florida
http://www.unf.edu/,University of North Florida
http://www.unfospreys.com/coaches.aspx?rc=408&path=mten,Adam Schaechterle
http://www.unfospreys.com/coaches.aspx?rc=438&path=wten,Audra Cohen
http://www.unfospreys.com/index.aspx?path=mten&tab=tennis,Men's Tennis
http://www.unfospreys.com/index.aspx?path=wten,Women's Tennis
http://www.usf.edu/,Universith of South Florida
http://www.ut.edu/,University of Tampa
http://www.warner.edu/,Warner University
http://www.warnerroyals.com/coaches.aspx?rc=358&path=mten,Jose Martinez
http://www.warnerroyals.com/index.aspx?tab=tennis&path=mten,Men's Tennis
http://www.warnerroyals.com/index.aspx?tab=_tennis&path=wten,Women's Tennis
http://www.webber.edu/,Webber International University
http://www.webberathletics.com/index.aspx?tab=tennis&path=mten,Men's Tennis
http://www.webberathletics.com/index.aspx?tab=_tennis&path=wten,Women's Tennis
http://www.webberathletics.com/sports/2012/1/5/GEN_0105122324.aspx?path=wten,Robert Hollis
https://www.broward.edu/athletics/tennis/index.jsp,Women's Tennis
https://www.broward.edu/athletics/tennis/players.jsp,Marlena Hall
https://www.flsouthern.edu/,Florida Southern College
https://www.spcollege.edu/pages/athletics.aspx?id=2147483731,Women's Tennis
https://www.spcollege.edu/pages/athletics.aspx?id=2147483732,Phil Girardi
